,Unnamed: 0,index,ticket_id,type,organization,comment,photo,photo_after,coords,address,subdistrict,district,province,timestamp,state,star,count_reopen,last_activity,level
663,663,30615,2022-4T3KRM,{น้ำท่วม},"เขตบางกะปิ,ฝ่ายโยธา เขตบางกะปิ,ผอ.เขตบางกะปิ (นายไพรัตน์),กลุ่มกรุงเทพตะวันออก (นายณรงค์ เรืองศรี)",ปัญาหาน้ำท่วมหลังฝนตก ค่อนข้างระบายช้า,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/8b13c91bb3b43d7de2497d0748fd465c7dc1b1d6.jpg,,"100.63465,13.75972",57 ซอย รามคำแหง 30/1 แขวง หัวหมาก เขตบางกะปิ กรุงเทพมหานคร 10240 ประเทศไทย,หัวหมาก,บางกะปิ,กรุงเทพมหานคร,2022-06-16 05:20:01.914348+00,เสร็จสิ้น,,0,2022-06-22 06:25:40.391498+00,2.0
666,666,30628,2022-7XHRC9,{น้ำท่วม},"กลุ่มงานระบายน้ำ ฝ่ายโยธา@ห้วยขวาง,เขตห้วยขวาง,ผอ.เขตห้วยขวาง (นายไพฑูรย์),กลุ่มกรุงเทพกลาง (นายสุขสันต์ กิตติศุภกร)","แจ้งน้ำท่วมซ้ำซาก 11.55 น. 16 มิ.ย.65
-พระราม 9 ซอย 7 ฝนตกน้ำท่วมประจำค่ะ
ในซอยมีหน่วยงานรัฐทั้ง ธอส./อสมท/ทิพย/ทีโอที
-เข้าใจว่าที่ดินเอกชนแต่ กทม.จะเข้ามาช่วยดูแลได้ไหมค่ะ 
-เคยมีเครื่องสูบน้ำสแตนบายปากซอย 2-3ปีก่อน",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/21f8341eded152c2424be8f57aff169d2b302ffb.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-11/8652a3de06d5a1478f3a461a98c6a0698b5478d4.jpg,"100.57032,13.76100",165 ถนน พระราม 9 แขวง ห้วยขวาง เขตห้วยขวาง กรุงเทพมหานคร 10310 ประเทศไทย,ห้วยขวาง,ห้วยขวาง,กรุงเทพมหานคร,2022-06-16 05:29:19.649928+00,เสร็จสิ้น,,0,2022-11-21 13:35:34.954306+00,2.0
668,668,30634,2022-FQZ7MB,"{น้ำท่วม,ถนน}","เขตพระโขนง,ผอ.เขตพระโขนง (น.ส.วรุณลักษม์),กลุ่มกรุงเทพใต้ (นายชาตรี วัฒนเขจร)",พื้นถนนไม่เท่ากันทำให้น้ำท่วมขังที่ซอย สุขุมวิท93 ตั้งแต่ เคสหคลินิก จนถึงจิมทอปสันไหมไทย,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/8522e18dcfa4620b37fb1de57eb3d568aa57a91a.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-11/f6653f5ed46e26672e4b34ff8acb9e5c33b8e39b.jpg,"100.60610,13.69945",116 ซอย สุขุมวิท 93 แขวง บางจาก เขตพระโขนง กรุงเทพมหานคร 10260 ประเทศไทย,บางจาก,พระโขนง,กรุงเทพมหานคร,2022-06-16 05:29:53.599714+00,เสร็จสิ้น,,0,2022-11-08 11:07:32.870939+00,1.0
669,669,30636,2022-38WRY9,{น้ำท่วม},"เขตจอมทอง,ฝ่ายโยธา เขตจอมทอง,สำนักการโยธา กทม.,ผอ.เขตจอมทอง (นายณัฐพงษ์),กลุ่มกรุงธนเหนือ (นายเฉลิมพล โชตินุชิต)",น้ำขังเน่าเสียมีกลิ่นเหม็น บริเวณตั้งแต่โลตัสสาขาพุทธบูชาซอย 9 จนถึงหัวโค้งตรงข้ามพุทธบูชาซอย 9,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/0aa0b67747ab00344d67ced743c19ac8071d2b3f.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/45764997324fbaf3cb088839d29a2783527407d6.jpg,"100.47257,13.67199",ตลาด ซอย พุทธบูชา 9 แขวง บางมด เขตจอมทอง กรุงเทพมหานคร 10150 ประเทศไทย,บางมด,จอมทอง,กรุงเทพมหานคร,2022-06-16 05:30:02.700379+00,เสร็จสิ้น,5.0,0,2022-06-18 04:50:53.488898+00,1.0
670,670,30642,2022-82NYCN,{น้ำท่วม},"เขตบางกะปิ,ฝ่ายโยธา เขตบางกะปิ,ผอ.เขตบางกะปิ (นายไพรัตน์),กลุ่มกรุงเทพตะวันออก (นายณรงค์ เรืองศรี)",น้ำท่วมหนักมาก,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/a818f973b79f2ef21f811e0c197794b294d1a3cb.jpg,,"100.61226,13.75000",1/4 Building Tempo One Soi Ramkhamhaeng 12 Yak 2 Ramkhanghaeng Rd แขวง หัวหมาก เขตบางกะปิ กรุงเทพมหานคร 10240 ประเทศไทย,หัวหมาก,บางกะปิ,กรุงเทพมหานคร,2022-06-16 05:31:35.751463+00,เสร็จสิ้น,2.0,0,2022-06-16 13:38:03.301974+00,2.0
672,672,30646,2022-4RMBMW,"{น้ำท่วม,ถนน}","เขตบางกะปิ,ฝ่ายโยธา เขตบางกะปิ,ผอ.เขตบางกะปิ (นายไพรัตน์),กลุ่มกรุงเทพตะวันออก (นายณรงค์ เรืองศรี)",ตะกี้ฝนตก น้ำท่วมถนนซอยรามคำแหง 21 สูงมากช่วยแก้ไขด้วยครับ ท่วมทุกครั้งที่ฝนตกครับ ประชาชนที่อยู่แถวนี้เดือดร้อนมากครับ,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/d289fdc30acd60b392b107e2d6b2037cd09cbd97.jpg,,"100.60983,13.75564",75 48 ซอย รามคำแหง 21 แขวง หัวหมาก เขตบางกะปิ กรุงเทพมหานคร 10240 ประเทศไทย,หัวหมาก,บางกะปิ,กรุงเทพมหานคร,2022-06-16 05:33:11.517533+00,เสร็จสิ้น,,0,2022-06-22 06:31:07.828678+00,2.0
674,674,30657,2022-AFVVWR,{น้ำท่วม},"เขตบางกะปิ,ฝ่ายโยธา เขตบางกะปิ,ผอ.เขตบางกะปิ (นายไพรัตน์),กลุ่มกรุงเทพตะวันออก (นายณรงค์ เรืองศรี)",น้ำท่วมค่ะ ฝนตกหนัก นานๆทีไร น้ำท่วมทุกครั้ง ซอยรามคำแหง 12 แยก 2 จะออกไปทำงานก็ยาก น้ำสกปรก ไม่อยากเสี่ยงค่ะ,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/7a8c9139733fd8c563eef2332d04819f3d7d96e7.jpg,,"100.61182,13.74918",14 ซอย รามคำแหง 12 แยก 2 แขวง หัวหมาก เขตบางกะปิ กรุงเทพมหานคร 10240 ประเทศไทย,หัวหมาก,บางกะปิ,กรุงเทพมหานคร,2022-06-16 05:36:37.975338+00,เสร็จสิ้น,2.0,0,2022-06-16 13:36:20.910694+00,2.0
677,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1,1,1.0
680,680,30677,2022-9E4E3C,{น้ำท่วม},"เขตบางกะปิ,ฝ่ายโยธา เขตบางกะปิ,ผอ.เขตบางกะปิ (นายไพรัตน์),กลุ่มกรุงเทพตะวันออก (นายณรงค์ เรืองศรี)",น้ำท่วม,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/e0aef86da3137bc1a2a8a2e462df3196d548abe0.jpg,,"100.60983,13.75564",75 48 ซอย รามคำแหง 21 แขวง หัวหมาก เขตบางกะปิ กรุงเทพมหานคร 10240 ประเทศไทย,หัวหมาก,บางกะปิ,กรุงเทพมหานคร,2022-06-16 05:42:38.619269+00,เสร็จสิ้น,,0,2022-06-16 13:33:26.793317+00,2.0
681,681,30678,2022-AKBAVF,{น้ำท่วม},"เขตบางกะปิ,ฝ่ายโยธา เขตบางกะปิ,ผอ.เขตบางกะปิ (นายไพรัตน์),กลุ่มกรุงเทพตะวันออก (นายณรงค์ เรืองศรี)",ฝนตกน้ำท่วมขังซอยข้างมหาวิทยาลัยabac ซ้ายขวา (ซอยรามคำแหง24) น้ำประมาณหัวเข่าน้ำเข้าเลยท่อรถเก๋งขนาดเล็กประชาชนสัญจรลำบาก,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/07285b9802544187278bae3f4c0e501c535a3b58.jpg,,"100.62835,13.75272",99 ซอย รามคำแหง 24 แยก 34 แขวง หัวหมาก เขตบางกะปิ กรุงเทพมหานคร 10240 ประเทศไทย,หัวหมาก,บางกะปิ,กรุงเทพมหานคร,2022-06-16 05:42:39.482968+00,เสร็จสิ้น,5.0,0,2022-06-16 13:32:29.674043+00,2.0
684,684,30726,2022-KXHLZQ,{น้ำท่วม},"เขตวัฒนา,ฝ่ายโยธา เขตวัฒนา,ผอ.เขตวัฒนา (น.ส.สุชิรา),กลุ่มกรุงเทพใต้ (นายชาตรี วัฒนเขจร)",อยากให้มาช่วยลงพื้นที่ให้ด้วยคะเวลาฝนตกลงมาน้ำท่วมขังคนสัญจรไปมาลำบาก,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/a186bf64d9016fbd1faa920ab4a02bc80350bbb4.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-09/a5a9b365968751d5896d9f5c0b651a31929b9f54.jpg,"100.59372,13.73347",1023/49 ซอย ปรีดี พนมยงค์ 41 แขวง คลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110 ประเทศไทย,คลองตันเหนือ,วัฒนา,กรุงเทพมหานคร,2022-06-16 06:01:07.782986+00,เสร็จสิ้น,5.0,0,2022-09-12 10:13:32.047024+00,2.0
686,686,30737,2022-KQEPE3,{น้ำท่วม},"เขตบางกะปิ,ฝ่ายโยธา เขตบางกะปิ,ผอ.เขตบางกะปิ (นายไพรัตน์),กลุ่มกรุงเทพตะวันออก (นายณรงค์ เรืองศรี)",1. ฝนตกหนักทีไร น้ำท่วมในซอยทุกครั้งเลยครับ ลาดพร้าว 107 ช่วงแยกหน้ามหาวิทยาลัยรัตนบัณฑิต จนถึงท้ายซอย,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/111725a9e9d505de9d6b054efc3ee257ac9f838e.jpg,,"100.63772,13.77975",306 ถนน ลาดพร้าว แขวง คลองจั่น เขตบางกะปิ กรุงเทพมหานคร 10240 ประเทศไทย,คลองจั่น,บางกะปิ,กรุงเทพมหานคร,2022-06-16 06:05:48.840703+00,เสร็จสิ้น,,0,2022-06-16 14:01:47.643961+00,2.0
687,687,30739,2022-BTNEYZ,"{น้ำท่วม,ถนน}","เขตบางกะปิ,ฝ่ายโยธา เขตบางกะปิ,ผอ.เขตบางกะปิ (นายไพรัตน์),กลุ่มกรุงเทพตะวันออก (นายณรงค์ เรืองศรี)",น้ำท่วมทุกครั้ง ที่มีฝนตก เป็นอุปสรรคในการสัญจรของผู้คนในซอยนี้ เป็นเส้นทางเดียว ซึ้งเป็นหน้าปากซอยที่จะออกไปสู่ถนนหลัก,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/deca6c4f514d559bf2e4146346676b102864053b.jpg,,"100.62823,13.75336",71 ซอย รามคำแหง 24 แยก 34 แขวง หัวหมาก เขตบางกะปิ กรุงเทพมหานคร 10240 ประเทศไทย,หัวหมาก,บางกะปิ,กรุงเทพมหานคร,2022-06-16 06:06:38.111952+00,เสร็จสิ้น,5.0,0,2022-06-16 13:30:23.967499+00,2.0
690,690,30751,2022-EY8BPX,"{น้ำท่วม,ท่อระบายน้ำ,คลอง}","เขตบางกะปิ,ฝ่ายโยธา เขตบางกะปิ,ผอ.เขตบางกะปิ (นายไพรัตน์),กลุ่มกรุงเทพตะวันออก (นายณรงค์ เรืองศรี)",น้ำท่วมค่ะ และไม่ได้รับการแก้ไขใดๆเลย ที่ซอยก็ไม่มีท่อระบายน้ำค่ะ ฝนตกทีนึกว่าคลองค่ะ,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/582dfb53429c00d3576d5da8c41d1e189e6d040e.jpg,,"100.63088,13.79154",2629 ถ. ลาดพร้าว แขวง คลองจั่น เขตบางกะปิ กรุงเทพมหานคร 10240 ประเทศไทย,คลองจั่น,บางกะปิ,กรุงเทพมหานคร,2022-06-16 06:11:45.766725+00,เสร็จสิ้น,1.0,0,2022-07-14 02:34:38.264186+00,2.0
692,692,30757,2022-9YEB2G,{น้ำท่วม},"เขตบางกะปิ,ฝ่ายโยธา เขตบางกะปิ,ผอ.เขตบางกะปิ (นายไพรัตน์),กลุ่มกรุงเทพตะวันออก (นายณรงค์ เรืองศรี)",น้ำท่วม,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/daf5a4730ead7679f1c313de4ffd4dfea878778e.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/52425788d35ddee1f5496687b56de5568ef82143.jpg,"100.63655,13.78275",521 ซอย ลาดพร้าว 107 แขวง คลองจั่น เขตบางกะปิ กรุงเทพมหานคร 10240 ประเทศไทย,คลองจั่น,บางกะปิ,กรุงเทพมหานคร,2022-06-16 06:14:41.433719+00,เสร็จสิ้น,,0,2022-06-23 12:59:05.915862+00,2.0
694,694,30762,2022-6TXX4P,{น้ำท่วม},"เขตสวนหลวง,ฝ่ายโยธา เขตบางกะปิ,ผอ.เขตสวนหลวง (นายบัญชา),กลุ่มกรุงเทพใต้ (นายชาตรี วัฒนเขจร)",รามคำแหง 24 น้ำท่วมวันนี้,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/6d3118ca68226cb9729734c777d4df58f9031604.jpg,,"100.62003,13.73437",35/1 ถ. พัฒนาการ แขวง สวนหลวง แขวงสวนหลวง กรุงเทพมหานคร 10250 ประเทศไทย,สวนหลวง,สวนหลวง,กรุงเทพมหานคร,2022-06-16 06:16:06.798653+00,เสร็จสิ้น,5.0,0,2023-02-07 06:29:20.111589+00,2.0
695,695,30765,2022-HMUF9Y,{น้ำท่วม},"เขตวัฒนา,ฝ่ายโยธา เขตวัฒนา,ผอ.เขตวัฒนา (น.ส.สุชิรา),กลุ่มกรุงเทพใต้ (นายชาตรี วัฒนเขจร)",น้ำท่วมขัง มีปัญหา การระบายตอนฝนตกค่ะ,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/2787595fb1834926b8f72264693547be70ed894c.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-09/6ecd62669f584c237df413db04e21788f674cde5.jpg,"100.55551,13.74487",59 ซ. สุขุมวิท 7 แขวง คลองเตยเหนือ เขตวัฒนา กรุงเทพมหานคร 10110 ประเทศไทย,คลองเตยเหนือ,วัฒนา,กรุงเทพมหานคร,2022-06-16 06:17:21.544629+00,เสร็จสิ้น,,0,2022-09-13 07:15:55.527668+00,2.0
696,696,30767,2022-94WKKN,{น้ำท่วม},"เขตบึงกุ่ม,ฝ่ายโยธา เขตบึงกุ่ม,ผอ.เขตบึงกุ่ม (นายสมพร),กลุ่มกรุงเทพตะวันออก (นายณรงค์ เรืองศรี)",1. ซอยนวมินทร์85 ฝนตกหนักน้ำจะท่วมสูงจนเข้ามาในบ้านครับ,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/597bca440c057647b656f092ff5e961466bd846f.jpg,,"100.64774,13.79576",43 ซอย นวมินทร์ 85 แขวง นวมินทร์ เขต บึงกุ่ม กรุงเทพมหานคร 10240 ประเทศไทย,นวมินทร์,บึงกุ่ม,กรุงเทพมหานคร,2022-06-16 06:18:57.468395+00,เสร็จสิ้น,5.0,0,2022-10-04 10:15:28.337792+00,2.0
697,697,30782,2022-F29XCM,{น้ำท่วม},"เขตวัฒนา,ฝ่ายโยธา เขตวัฒนา,ผอ.เขตวัฒนา (น.ส.สุชิรา),กลุ่มกรุงเทพใต้ (นายชาตรี วัฒนเขจร)",แจ้งปัญหาน้ำท่วมในซอยเอกมัย 10 และโรงเรียน Ekamai International ครับ,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/0161cefafb9a5cfc890846bc58e083c010d63678.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-09/c2825957ffe7b951dda80a40b973bc02099e5872.jpg,"100.59160,13.73072",49 ถนน สุขุมวิท แขวง คลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110 ประเทศไทย,คลองตันเหนือ,วัฒนา,กรุงเทพมหานคร,2022-06-16 06:24:48.925813+00,เสร็จสิ้น,,0,2022-09-13 05:29:01.96956+00,2.0
702,702,30850,2022-KC47DV,"{ถนน,น้ำท่วม}","เขตบางเขน,ผอ.เขตบางเขน (น.ส.อัญชนา),กลุ่มกรุงเทพเหนือ (นางวันทนีย์ วัฒนะ)",ฝนตกน้ำท่วมถนน ท่อน้ำไม่ยอมระบายน้ำเลยค่ะ,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/48dd31f0038fd7d7170489485480c6f13c67bc36.jpg,,"100.60898,13.89189",3/2270 ซอย พหลโยธิน 50 แขวง อนุสาวรีย์ เขตบางเขน กรุงเทพมหานคร 10220 ประเทศไทย,อนุสาวรีย์,บางเขน,กรุงเทพมหานคร,2022-06-16 06:58:14.687178+00,เสร็จสิ้น,5.0,0,2022-07-13 15:53:10.822333+00,2.0
703,703,30854,2022-3ZBFCN,"{ทางเท้า,น้ำท่วม}","เขตวัฒนา,ฝ่ายโยธา เขตวัฒนา,ผอ.เขตวัฒนา (น.ส.สุชิรา),กลุ่มกรุงเทพใต้ (นายชาตรี วัฒนเขจร)",ท้ายซอยสุขุมวิท 23 ตรงประตูทางออก มศว ฝนตกทีไรน้ำขังนานมากค่ะ มีทางเท้าให้เดินในซอยก็จริงแต่ว่าทางเท้าไม่ต่อเนื่อง ขาดช่วงอยู่เรื่อยๆ (เพราะเป็นทางลาดขึ้นตึกต่าๆ) เลยทำให้บางจุดต้องเดินลุยน้ำอยู่ดี,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/954ca953850c9ec823c37281186ee473966f454d.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-09/7dbf9112784b54215af06520f31e00e7e3bdb594.jpg,"100.56381,13.74337",128 ซ. สุขุมวิท 23 แขวง คลองเตยเหนือ เขตวัฒนา กรุงเทพมหานคร 10110 ประเทศไทย,คลองเตยเหนือ,วัฒนา,กรุงเทพมหานคร,2022-06-16 06:59:28.028749+00,เสร็จสิ้น,4.0,0,2022-09-13 02:20:25.536607+00,1.0
704,704,30855,2022-H8LL47,{น้ำท่วม},"เขตบึงกุ่ม,ผอ.เขตบึงกุ่ม (นายสมพร),กลุ่มกรุงเทพตะวันออก (นายณรงค์ เรืองศรี)",1. ฝนตกทำให้น้ำขัง รอการระบาย,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/5a12ace514c94718fdaeaa4a2674d75bacd47144.jpg,,"100.64872,13.79626",74/1 ซอย นวมินทร์ 85 แขวง นวมินทร์ เขต บึงกุ่ม กรุงเทพมหานคร 10240 ประเทศไทย,นวมินทร์,บึงกุ่ม,กรุงเทพมหานคร,2022-06-16 07:00:44.37059+00,เสร็จสิ้น,,0,2022-06-18 07:20:02.83394+00,2.0
709,709,30904,2022-KNXK46,{น้ำท่วม},"เขตบางกะปิ,ฝ่ายโยธา เขตบางกะปิ,ผอ.เขตบางกะปิ (นายไพรัตน์),กลุ่มกรุงเทพตะวันออก (นายณรงค์ เรืองศรี)",น้ำท่วมขังรอการระบาย ซอยรามคำแหง 24 แยก 34 ช่วงต้นซอยข้างเอแบค มักจะน้ำท่วมเมื่อฝนตก นักศึกษาเดินเข้าออกประตูข้างมหาลัยไม่ได้,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/8b5ce448502a1c1baedfd5070be0d883ff86c701.jpg,,"100.62836,13.75272",99 ซอย รามคำแหง 24 แยก 34 แขวง หัวหมาก เขตบางกะปิ กรุงเทพมหานคร 10240 ประเทศไทย,หัวหมาก,บางกะปิ,กรุงเทพมหานคร,2022-06-16 07:26:37.816923+00,เสร็จสิ้น,,0,2022-06-22 06:58:43.135709+00,2.0
710,710,30906,2022-4QRMV6,{น้ำท่วม},"เขตดินแดง,ฝ่ายโยธา เขตดินแดง,ผอ.เขตดินแดง (นายชูชาติ),กลุ่มกรุงเทพกลาง (นายสุขสันต์ กิตติศุภกร)",น้ำท่วมหลัง ม.หอการค้า อยากให้มาลอกท่อหน่อยค่ะ น้ำท่วมสูงมาก,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/96870431435ed958b412ffc3187ea84a746965d8.jpg,,"100.56166,13.77891",268 ถนน ประชาสงเคราะห์ แขวง ดินแดง เขตดินแดง กรุงเทพมหานคร 10400 ประเทศไทย,ดินแดง,ดินแดง,กรุงเทพมหานคร,2022-06-16 07:27:52.284622+00,กำลังดำเนินการ,,0,2023-03-02 07:01:09.711111+00,2.0
711,711,30907,2022-6WFRPY,{น้ำท่วม},"เขตบางกะปิ,ฝ่ายโยธา เขตบางกะปิ,ผอ.เขตบางกะปิ (นายไพรัตน์),กลุ่มกรุงเทพตะวันออก (นายณรงค์ เรืองศรี)",ขออนุญาตินะครับ หน้ามหาวิทยาลัยรัตนบัณฑิต ซอย ลาดพร้าว 107 ท่วมทุกที ท่วมขังไม่ไปไหนเลยครับ ผมเรียนมาตั้งแต่ปี 1 จนตอนนี้ปี 4 ไม่มีอะไรดีขึ้นเลยครับ ยิ่งฝนตกหนักๆ จะท่วมถึงเข่าเลย ดูให้ด้วยนะครับ ขอบคุณมากๆครับ ท่วมไม่มีลดเวลาฝนตก,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/a5529dbccf2209a283c6bbc42c3bda9eaeb284bc.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/09ae8276cd5cd1eaf6fc5503402bce7961705384.jpg,"100.63768,13.77963",อาคาร พลาซ่าเดอจังค์ชั่น ซอย ลาดพร้าว 107 แยก 14 ถ. ลาดพร้าว แขวง คลองจั่น เขตบางกะปิ กรุงเทพมหานคร 10240 ประเทศไทย,คลองจั่น,บางกะปิ,กรุงเทพมหานคร,2022-06-16 07:27:52.911113+00,เสร็จสิ้น,5.0,0,2022-06-22 07:28:07.241707+00,1.0
717,717,30986,2022-MQQPF8,{น้ำท่วม},"เขตบึงกุ่ม,ฝ่ายโยธา เขตบึงกุ่ม,ผอ.เขตบึงกุ่ม (นายสมพร),กลุ่มกรุงเทพตะวันออก (นายณรงค์ เรืองศรี)",ฝนตก น้ำท่วมขัง,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/975b2597f2b8683148a499aac8e9f6485736a2a0.jpg,,"100.64458,13.79092",458 ซอย นวมินทร์ 81 แยก 3-14 แขวง นวมินทร์ เขต บึงกุ่ม กรุงเทพมหานคร 10230 ประเทศไทย,นวมินทร์,บึงกุ่ม,กรุงเทพมหานคร,2022-06-16 08:08:53.134017+00,เสร็จสิ้น,,0,2022-10-04 10:17:34.83527+00,2.0
719,719,30998,2022-4BAYT9,{น้ำท่วม},"เขตวัฒนา,ฝ่ายโยธา เขตวัฒนา,ผอ.เขตวัฒนา (น.ส.สุชิรา),กลุ่มกรุงเทพใต้ (นายชาตรี วัฒนเขจร)",ฝนตกน้ำท่วมขังที่ซอยเอกมัย 12 เป็นมานานแล้วไม่มีการแก้ไขหรือช่วยเหลืออะไรใดใดเลย,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/d788c7548b8396f07e0582f6b8c0a94968c5582e.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-09/3ab5b4868cda62ed8c2df89e09007c3f2e3f315c.jpg,"100.59273,13.73090",57 ซอย ปรีดี พนมยงค์ 31 แขวง คลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110 ประเทศไทย,คลองตันเหนือ,วัฒนา,กรุงเทพมหานคร,2022-06-16 08:17:12.888545+00,เสร็จสิ้น,,0,2022-09-13 02:17:43.954668+00,2.0
723,723,31067,2022-64W8WH,"{น้ำท่วม,ถนน}","เขตสาทร,ฝ่ายโยธา เขตสาทร,สำนักการระบายน้ำ กทม.,ผอ.เขตสาทร (นายชาติชาย),กลุ่มกรุงเทพใต้ (นายชาตรี วัฒนเขจร)",บริเวณถนนเชื้อเพลิงครับ ใต้ทางด่วน ฝนตกทีไร น้ำท่วมตลอดเลย,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/e4bc626aaef9f83d90b53e76cd5f8b788273c7fe.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-11/61894ae093ae60a24ce33a83feac1c159da3095e.jpg,"100.55289,13.72054",37 ซอย เชื้อเพลิง 2 แขวง ทุ่งมหาเมฆ เขต สาทร กรุงเทพมหานคร 10120 ประเทศไทย,ทุ่งมหาเมฆ,สาทร,กรุงเทพมหานคร,2022-06-16 08:53:11.00521+00,เสร็จสิ้น,,0,2022-11-11 03:43:11.02273+00,2.0
724,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1,1,1.0
725,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1,1,1.0
735,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1,1,1.0
740,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1,1,1.0
743,743,31580,2022-A7W8TE,{น้ำท่วม},"เขตบางกะปิ,ฝ่ายโยธา เขตบางกะปิ,ผอ.เขตบางกะปิ (นายไพรัตน์),กลุ่มกรุงเทพตะวันออก (นายณรงค์ เรืองศรี)","ขอร่วมเป็นพลังทำให้กรุงเทพฯ ดีกว่าเดิม ร่วมบอกความฝันที่อยากให้เมืองดีขึ้น หรือแจ้งปัญหาที่อยากแก้ไขในพื้นที่เขตของเราพร้อมรายละเอียดดังนีั

น้ำท่วมขังหลังฝนตกหนักราวหนึ่งชม. เป็นเฉพาะจุดที่เดียวเป็นประจำ แม้จุดอื่นจะแห้งปกติแล้วก็ตาม  บริเวณหน้าสนามแบดมินตันทวิมุข รามคำแหง


จึงเรียนมาเพื่อพิจารณาแก้ไขปรับปรุง

16/6/2565 เวลาประมาณ19.00น.",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/51a79151acbc6df44d8dfdd9f940d8a798a9a9e5.jpg,,"100.63782,13.76018",10 ซอย รามคำแหง 36/1 แขวง หัวหมาก เขตบางกะปิ กรุงเทพมหานคร 10240 ประเทศไทย,หัวหมาก,บางกะปิ,กรุงเทพมหานคร,2022-06-16 11:57:37.178712+00,เสร็จสิ้น,2.0,0,2022-06-22 04:11:00.738667+00,2.0
744,744,31598,2022-LHXZHQ,"{น้ำท่วม,ถนน}","เขตจอมทอง,ฝ่ายโยธา เขตจอมทอง,ผอ.เขตจอมทอง (นายณัฐพงษ์),กลุ่มกรุงธนเหนือ (นายเฉลิมพล โชตินุชิต)",สวัสดีค่ะ ขอแจ้งเรื่องถนนในซอยเอกชัย 18 พื้นถนนต่ำ เวลาฝนตกจะมีน้ำท่วม น้ำขังจำนวนมากตลอดเลยค่ะ,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/09e6218af0d875f9de8d27428be1d4175bc08f65.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-11/2bc1b668c49dfbb9bce2300847a4c79481681d50.jpg,"100.45506,13.69451",112/258 หมู่บ้านเจริญสุข ซอย 2 แขวง บางขุนเทียน เขตจอมทอง กรุงเทพมหานคร 10150 ประเทศไทย,บางขุนเทียน,จอมทอง,กรุงเทพมหานคร,2022-06-16 12:02:59.825103+00,เสร็จสิ้น,,0,2022-11-25 10:55:29.887928+00,2.0
